"","protein"
"1","YOR207C"
"2","YDL140C"
"3","YOR151C"
"4","YKL203C"
"5","YGR253C"
"6","YDR045C"
"7","YDL064W"
"8","YML063W"
"9","YKL211C"
"10","YPL190C"
"11","YJL194W"
"12","YDL202W"
"13","YKL155C"
"14","YKL192C"
"15","YHR066W"
"16","YHR086W"
"17","YPL235W"
"18","YDL004W"
"19","YNL182C"
"20","YBL045C"
"21","YKL195W"
"22","YGR088W"
"23","YOR020C"
"24","YNL031C"
"25","YLR008C"
"26","YMR203W"
"27","YFR032C-A"
"28","YBR039W"
"29","YOR232W"
"30","YIL022W"
"31","YBR196C"
"32","YNR017W"
"33","YOR142W"
"34","YFR033C"
"35","YER005W"
"36","YNR037C"
"37","YHR129C"
"38","YGR244C"
"39","YDR231C"
"40","YMR080C"
"41","YNL178W"
"42","YPL240C"
"43","YNL071W"
"44","YPL132W"
"45","YOL033W"
"46","YDL067C"
"47","YKL049C"
"48","YLR069C"
"49","YFL037W"
"50","YDR312W"
"51","YJR123W"
"52","YGR082W"
"53","YIL091C"
"54","Q0130"
"55","YFL039C"
"56","YDR298C"
"57","YKL067W"
"58","YJR045C"
"59","YEL021W"
"60","YGL191W"
"61","YPL131W"
"62","YLR259C"
"63","YDR381W"
"64","YBR009C"
"65","YGL122C"
"66","YBL074C"
"67","YMR288W"
"68","YER095W"
"69","YBR256C"
"70","YMR229C"
"71","YOR204W"
"72","YNL251C"
"73","YCR012W"
"74","YPL160W"
"75","YGR185C"
"76","YBL076C"
"77","YGL048C"
"78","YAL043C"
"79","YDR212W"
"80","YIL142W"
"81","YJL111W"
"82","YDR041W"
"83","YGL123W"
"84","YDL201W"
"85","YFL022C"
"86","YHR190W"
"87","YGL103W"
"88","YDR062W"
"89","YNL137C"
"90","YPR086W"
"91","YDR188W"
"92","YJL014W"
"93","YDR050C"
"94","YPL063W"
"95","YDL003W"
"96","YOL031C"
"97","YPL266W"
"98","YGR264C"
"99","YOR116C"
"100","YDR337W"
"101","YDR237W"
"102","YOR194C"
"103","YPR088C"
"104","YHR038W"
"105","YPR035W"
"106","YKL194C"
"107","YDR037W"
"108","YDR023W"
"109","YLL026W"
"110","YMR260C"
"111","YDR064W"
"112","YHL015W"
"113","YKL060C"
"114","YGL105W"
"115","YNL306W"
"116","YDR341C"
"117","YGL026C"
"118","YJR064W"
"119","YMR301C"
"120","YOL127W"
"121","YPR033C"
"122","YOR373W"
"123","YOR063W"
"124","YDR101C"
"125","YLR340W"
"126","YNL163C"
"127","YKL173W"
"128","YLR359W"
"129","YPR110C"
"130","YKL009W"
"131","YLR060W"
"132","YDR167W"
"133","YBR088C"
"134","YNL088W"
"135","YLR075W"
"136","YKR079C"
"137","YBR136W"
"138","YAL033W"
"139","YBR109C"
"140","YGL055W"
"141","YLR229C"
"142","YBR200W"
"143","YNL131W"
"144","YBR217W"
"145","YKL078W"
"146","YMR116C"
"147","YLR178C"
"148","YBR252W"
"149","YJL054W"
"150","YBR091C"
"151","YDR328C"
"152","YLR167W"
"153","YDL042C"
"154","YAL038W"
"155","YML025C"
"156","YNL037C"
"157","YOR157C"
"158","YHR005C-A"
"159","YJR057W"
"160","YMR297W"
"161","YJL104W"
"162","YPR103W"
"163","YBL078C"
"164","YGL189C"
"165","YNL002C"
"166","YAL003W"
"167","YDR325W"
"168","YDR322W"
"169","YKL138C"
"170","YMR024W"
"171","YMR128W"
"172","YPL128C"
"173","YPL167C"
"174","YDL014W"
"175","YGL172W"
"176","YML124C"
"177","YAR007C"
"178","YJL034W"
"179","YDR086C"
"180","YBL003C"
"181","YDL102W"
"182","YDL220C"
"183","YPR082C"
"184","YPL153C"
"185","YPL094C"
"186","YER019C-A"
"187","YBR160W"
"188","YHR019C"
"189","YML085C"
"190","YDR434W"
"191","YBL088C"
"192","YDR224C"
"193","YER009W"
"194","YER111C"
"195","YLL013C"
"196","YBR202W"
"197","YPR048W"
"198","YDL007W"
"199","YDR283C"
"200","YPR183W"
"201","YDR510W"
"202","YEL009C"
"203","YLR274W"
"204","YDR139C"
"205","YOR335C"
"206","YBL097W"
