# Name, Essential?, Degree, Eigenvector Centrality, Betweenness Centrality, Closeness centrality
Q0010, False, 8, 4.6277735915371485e-07, 2.4896710884741115e-05, 0.21880764406404485
YPL135W, False, 41, 0.00030309150048624903, 0.0004917655028117721, 0.3065433119702295
Q0017, False, 8, 4.6277735915371485e-07, 2.4896710884741115e-05, 0.21880764406404485
YOL103W, False, 4, 1.102591594013765e-06, 1.8692024411499714e-05, 0.249663242970197
YJR122W, False, 32, 0.00010355661714351593, 0.00021007550883446984, 0.2991979014276346
YGL043W, False, 90, 0.0010545647075979878, 0.0005794329066177457, 0.32196949134140385
YOR207C, True, 100, 0.014798690425393664, 0.0006977312713535094, 0.3261479241132802
YDR020C, False, 23, 5.2743779692330644e-05, 0.00034380918547026766, 0.30418504461996104
Q0143, False, 8, 4.6277735915371485e-07, 2.4896710884741115e-05, 0.21880764406404485
YBR031W, False, 267, 0.06318586434357235, 0.0004535675993131219, 0.34765533411488864
Q0045, False, 63, 0.00023940702004428258, 0.0005014383276899238, 0.29672803682209326
Q0105, False, 74, 0.00019253089147725739, 0.0007963208676549375, 0.29826502388735227
Q0092, False, 14, 8.255469377240886e-05, 0.001889312609774875, 0.2618889919194595
YDL140C, True, 198, 0.0044683691750928125, 0.008052771478198781, 0.37040969273045216
Q0160, False, 20, 0.00011973341002226671, 0.00028849710205064254, 0.30476337289964545
YOR151C, True, 138, 0.0082620235649234, 0.0024450860607686067, 0.34524710402235287
Q0182, False, 9, 4.627968622797e-07, 0.0002569438353371662, 0.2188157166574433
Q0297, False, 7, 4.050845258124542e-07, 0.0, 0.20899992952286983
YBR265W, True, 21, 0.00022844938412934065, 0.0007277684769544163, 0.2881504153913424
YDR012W, False, 217, 0.05315126773555166, 0.0002227360816651926, 0.3410188592456302
YDL020C, False, 32, 0.00015549381370017203, 0.0006227972701916334, 0.30537534754402224
YKL203C, True, 79, 0.0006416763112247835, 0.002389913400743829, 0.34312988140005785
YGR253C, True, 64, 0.0022283814595732416, 0.00029437856111918067, 0.3108490566037736
YDL114W, False, 14, 1.2193358937851001e-05, 0.0013123120136016558, 0.26256142370180174
YDR045C, True, 60, 0.003244520613740011, 0.0008374580927609217, 0.3229864401241627
YLL027W, False, 40, 0.0002825583262233759, 0.00045310562281554245, 0.30184742226067485
YER148W, True, 159, 0.0027951714399864365, 0.004425505554336878, 0.34818598097921805
Q0142, False, 7, 4.050845258124542e-07, 0.0, 0.20899992952286983
YBL091C, False, 12, 0.0008883018803923439, 0.00040195663083905084, 0.29346857991093517
Q0032, False, 8, 4.051040289384394e-07, 0.00010510727309805205, 0.20900729464002538
YPR067W, False, 29, 9.148515631714141e-05, 0.00026894347971855395, 0.3008216676810712
Q0085, False, 81, 0.0009652887627874026, 0.0014673276128661192, 0.32115009746588696
YPL069C, False, 27, 1.5542134201191116e-05, 0.00039355854408544295, 0.28748000581648975
YDL064W, True, 102, 0.00095233572275108, 0.001812721937480396, 0.3348199164502653
YML063W, False, 297, 0.06811921150611779, 0.0015348922503706833, 0.36127185234817566
YLR089C, False, 34, 2.85063610920846e-05, 0.0002442019206260009, 0.2989716705313036
YKL211C, False, 96, 0.00048415257393397555, 0.00519723720377197, 0.3362435512217246
YLR441C, False, 325, 0.07332962395243645, 0.001696036893140551, 0.3605471124620061
YKL001C, False, 36, 0.0007472325929202906, 0.0007084952820930099, 0.31071877619446775
YKL149C, False, 12, 0.0007337229713128541, 0.0001633871453366821, 0.2915069301091124
YPL190C, True, 74, 0.0020099138508901685, 0.0009646577612393352, 0.3290612516644474
YIL099W, False, 16, 5.555657398232908e-06, 0.0003218840215331155, 0.2743547044129892
YAL058W, False, 69, 0.0004730456605365624, 0.002739031267193075, 0.3351604882459313
YNR064C, False, 2, 4.124628438702555e-09, 0.0, 0.17954228976206332
YLL052C, False, 4, 9.363525231887689e-07, 3.13511672864828e-05, 0.23506797193928106
YJL194W, True, 140, 0.0006275236637032444, 0.0019522239730382386, 0.333595815287699
YML120C, False, 52, 9.725067436300221e-05, 0.0005486281278158339, 0.2990621218233159
YOR187W, False, 151, 0.025411447649577694, 0.0020197608337094056, 0.34478549005929543
YDL202W, False, 163, 0.034152353866122726, 0.0010819599572752863, 0.3319156080362639
YMR287C, False, 19, 0.0016295126900784346, 0.00014301908570405516, 0.29303359683794467
YOR257W, True, 49, 0.00024210873275334552, 0.0011336422340552676, 0.3208026828212895
YPR020W, False, 61, 0.00040783765708422853, 0.00022851898941973317, 0.3028801960984578
YPL172C, False, 34, 0.00012286272273490543, 0.0002507153752330508, 0.29595808383233535
YJL116C, False, 2, 1.069612716075043e-06, 0.0, 0.22959005922657066
YGR033C, False, 39, 0.00014545277915262996, 1.887590397802911e-05, 0.2917650531286895
YML091C, True, 26, 0.00022098822815258624, 0.0011726319350325429, 0.28519907674552797
YKL155C, False, 52, 0.005019681554138137, 0.0009419036619549141, 0.3104747945348898
Q0055, False, 9, 5.907231437458558e-05, 5.345145215640026e-06, 0.26095564941921856
YGR021W, False, 19, 0.0002100600107851182, 0.0007547433227707962, 0.29702524038461536
YKL192C, True, 92, 0.0021285696100739934, 0.004130160320048242, 0.328114627129896
YGL226W, False, 30, 7.636463806314032e-05, 0.0011166451644183987, 0.28283261802575105
YDR375C, False, 40, 0.00021877361473394543, 0.00019124456303636018, 0.3073216228820146
YDR178W, False, 51, 0.00010311398534185737, 0.00023062607373591722, 0.29867056098297917
Q0065, False, 26, 5.692189727456834e-05, 7.407880300924584e-05, 0.2778376352649084
YLR067C, False, 44, 0.0014706995635907184, 0.0008873093561714073, 0.2987006446414182
YBR037C, False, 23, 5.9848048097403285e-05, 0.00010157585279119403, 0.28562484950638095
YGL143C, False, 20, 0.0026113836549695765, 4.994097802992603e-05, 0.3012035955512671
YDR148C, False, 56, 0.00040765808656520155, 0.00043734462217170846, 0.3167423230974633
YHR066W, False, 235, 0.04570730828597121, 0.0006262854199438305, 0.3417458945548833
YBR118W, False, 129, 0.027739721909662417, 0.0008460326733788501, 0.3504076568592698
YHR086W, True, 74, 0.0014030540592672592, 0.0013178599480173562, 0.3172845450168512
YMR293C, False, 15, 7.743689009662256e-05, 0.00021089172404209112, 0.26588066526202536
YPR166C, False, 199, 0.040811711625949994, 0.00034597280635806653, 0.33823781009409754
YDR119W-A, False, 24, 5.781006824631717e-05, 1.0836175567091259e-06, 0.27089613592765144
YLR290C, False, 19, 4.1462628398049346e-05, 0.00020967214231335361, 0.27616874650772955
YLR204W, False, 6, 8.388204537599703e-05, 2.954396828119443e-05, 0.273620594205573
YEL024W, False, 110, 0.0009504799159370771, 0.002729854189369244, 0.3286600908788651
Q0275, False, 49, 9.399475091615789e-05, 0.00033065414262478286, 0.28610709117221417
YJL208C, False, 15, 0.00021419990291754923, 0.00041794117109124633, 0.29909228441754915
YLR304C, False, 105, 0.00034777485061817786, 0.0017344527748715023, 0.32796947577969476
YER053C, False, 44, 0.00028578083262774753, 0.0008611568678775522, 0.31905965893808164
YER058W, False, 5, 0.00025835448421535675, 2.2120867179474186e-06, 0.2834679539263012
YDL107W, False, 7, 6.638440592301861e-05, 1.3034192243583043e-05, 0.27619446772841577
YDR256C, False, 66, 0.0002026113628570417, 0.0016932776492959286, 0.32782445279681627
YOR202W, False, 58, 0.0006479492279582508, 0.001482506166749447, 0.34180497925311204
YBR120C, False, 12, 0.00011749935526558771, 0.00029172946847447195, 0.2805316431747233
YBR185C, False, 19, 0.00039254894707559687, 5.834707905640371e-05, 0.2872433165439752
YEL039C, False, 49, 0.00048183667714238033, 0.0009633455081023161, 0.31610083675318446
YPL235W, True, 87, 0.002143764813353377, 0.0013329640210769163, 0.3396129180027485
YPR134W, False, 5, 1.0173945175897644e-05, 2.5935757308665006e-06, 0.24173629508864886
YDR261C, False, 6, 7.242384077407164e-06, 2.5892247217499187e-05, 0.2553713670613563
Q0080, False, 43, 0.00020321974340039968, 0.00043705169843313944, 0.2920955429697119
