"","x_name","essential","degree","eigenvector_centrality","betweenness_centrality","closeness_centrality","predicted_lethality","acc"
"1","Q0010","0",8,4.62777359153715e-07,2.48967108847411e-05,0.218807644064045,"0",TRUE
"4","YOL103W","0",4,1.10259159401376e-06,1.86920244114997e-05,0.249663242970197,"0",TRUE
"11","Q0045","0",63,0.000239407020044283,0.000501438327689924,0.296728036822093,"0",TRUE
"13","Q0092","0",14,8.25546937724089e-05,0.00188931260977488,0.26188899191946,"0",TRUE
"15","Q0160","0",20,0.000119733410022267,0.000288497102050643,0.304763372899645,"0",TRUE
"16","YOR151C","1",138,0.0082620235649234,0.00244508606076861,0.345247104022353,"1",TRUE
"18","Q0297","0",7,4.05084525812454e-07,0,0.20899992952287,"0",TRUE
"23","YGR253C","1",64,0.00222838145957324,0.000294378561119181,0.310849056603774,"1",TRUE
"24","YDL114W","0",14,1.2193358937851e-05,0.00131231201360166,0.262561423701802,"0",TRUE
"27","YER148W","1",159,0.00279517143998644,0.00442550555433688,0.348185980979218,"0",FALSE
"29","YBL091C","0",12,0.000888301880392344,0.000401956630839051,0.293468579910935,"0",TRUE
"30","Q0032","0",8,4.05104028938439e-07,0.000105107273098052,0.209007294640025,"0",TRUE
"33","YPL069C","0",27,1.55421342011911e-05,0.000393558544085443,0.28748000581649,"0",TRUE
"34","YDL064W","1",102,0.00095233572275108,0.0018127219374804,0.334819916450265,"1",TRUE
"35","YML063W","0",297,0.0681192115061178,0.00153489225037068,0.361271852348176,"1",FALSE
"37","YKL211C","0",96,0.000484152573933976,0.00519723720377197,0.336243551221725,"1",FALSE
"42","YIL099W","0",16,5.55565739823291e-06,0.000321884021533115,0.274354704412989,"0",TRUE
"44","YNR064C","0",2,4.12462843870256e-09,0,0.179542289762063,"0",TRUE
"45","YLL052C","0",4,9.36352523188769e-07,3.13511672864828e-05,0.235067971939281,"0",TRUE
"47","YML120C","0",52,9.72506743630022e-05,0.000548628127815834,0.299062121823316,"0",TRUE
"48","YOR187W","0",151,0.0254114476495777,0.00201976083370941,0.344785490059295,"0",TRUE
"49","YDL202W","0",163,0.0341523538661227,0.00108195995727529,0.331915608036264,"1",FALSE
"53","YPL172C","0",34,0.000122862722734905,0.000250715375233051,0.295958083832335,"0",TRUE
"55","YGR033C","0",39,0.00014545277915263,1.88759039780291e-05,0.291765053128689,"0",TRUE
"57","YKL155C","0",52,0.00501968155413814,0.000941903661954914,0.31047479453489,"1",FALSE
"58","Q0055","0",9,5.90723143745856e-05,5.34514521564003e-06,0.260955649419219,"0",TRUE
"62","YDR375C","0",40,0.000218773614733945,0.00019124456303636,0.307321622882015,"0",TRUE
"67","YGL143C","0",20,0.00261138365496958,4.9940978029926e-05,0.301203595551267,"0",TRUE
"70","YBR118W","0",129,0.0277397219096624,0.00084603267337885,0.35040765685927,"0",TRUE
"72","YMR293C","0",15,7.74368900966226e-05,0.000210891724042091,0.265880665262025,"0",TRUE
"74","YDR119W-A","0",24,5.78100682463172e-05,1.08361755670913e-06,0.270896135927651,"0",TRUE
"83","YDL107W","0",7,6.63844059230186e-05,1.3034192243583e-05,0.276194467728416,"0",TRUE
"84","YDR256C","0",66,0.000202611362857042,0.00169327764929593,0.327824452796816,"0",TRUE
"86","YBR120C","0",12,0.000117499355265588,0.000291729468474472,0.280531643174723,"0",TRUE
"88","YEL039C","0",49,0.00048183667714238,0.000963345508102316,0.316100836753184,"0",TRUE
"94","YLR333C","0",202,0.0521008323344352,0.00100498353324622,0.335634655650501,"0",TRUE
"95","YHL038C","0",10,5.83620070540557e-05,4.05876433951325e-05,0.257444222588766,"0",TRUE
"98","YDL004W","1",80,0.00169691997573353,0.000654115472445534,0.321620302586628,"1",TRUE
"99","YPL252C","1",49,0.000291635555297556,0.000643337859631862,0.301096558026196,"0",FALSE
"101","YJR047C","0",102,0.0233752953707726,0.00133659882291033,0.323762214094656,"0",TRUE
"103","YBL045C","0",90,0.000392986105171795,0.000954789927412524,0.312865959803766,"1",FALSE
"104","YDR007W","0",51,0.000147849680979428,0.00101856078587712,0.330823293172691,"0",TRUE
"105","YCL017C","1",45,0.000379213448183004,0.000749537585347778,0.309939381270903,"0",FALSE
"110","YMR176W","0",31,0.000324874723186984,0.000367451824094981,0.31890525862996,"0",TRUE
"111","YPL078C","0",83,0.00027107427301684,0.000649608969909937,0.311371272574548,"0",TRUE
"112","YLR395C","0",55,0.00025502832193116,0.000235208145388096,0.297890507282772,"0",TRUE
"115","YBR255C-A","0",11,4.68405006426086e-06,0.000205735089940162,0.252554931016863,"0",TRUE
"116","Q0060","0",20,4.48492077676281e-05,1.66361894387336e-05,0.277279102384292,"0",TRUE
"117","YGR088W","0",125,0.000234173894258682,0.00651612408928591,0.344525123438861,"1",FALSE
"120","YGL187C","0",86,0.000405592288103362,0.00128832381029044,0.313328754820646,"0",TRUE
"122","YGR171C","0",38,0.000403950810403077,0.000199752410099889,0.299394245330641,"0",TRUE
"123","YLR188W","0",1,5.57608698599234e-06,0,0.239230396902227,"0",TRUE
"124","YEL047C","0",14,1.18209820657165e-05,5.64357560778011e-05,0.267318700139721,"0",TRUE
"126","YML030W","0",21,0.000284691385283465,0.000506262483621049,0.301847422260675,"0",TRUE
"128","YDR350C","0",17,5.84941351263046e-05,0.000135350843460791,0.263857994483495,"0",TRUE
"131","YKL087C","0",14,7.27594988073286e-05,4.40904231410715e-05,0.286507898169171,"0",TRUE
"135","YKL141W","1",62,0.000204007384834022,0.000275211839555913,0.30056250950185,"0",FALSE
"140","YOR158W","0",78,0.00771001975802519,0.000128033770276204,0.305218196788802,"0",TRUE
"142","YDR197W","0",19,9.97360286368486e-05,0.000151523161341292,0.278372289495917,"0",TRUE
"144","YJL131C","0",7,4.9731241500674e-05,6.71999791339721e-05,0.260657466819021,"0",TRUE
"146","YMR203W","1",101,0.00285019096407454,0.00202872715949344,0.343408025013028,"1",TRUE
"148","YMR038C","0",18,4.59372094633281e-05,6.34789689466462e-05,0.282119583313514,"0",TRUE
"149","YFR032C-A","0",239,0.0557266287608826,0.00113125992200503,0.344205211537345,"1",FALSE
"150","YBR039W","0",85,0.0013413570446769,0.00118065402775089,0.334536634891985,"1",FALSE
"151","YBL057C","0",4,0.000294577912582386,7.72343800050163e-05,0.272014309301046,"0",TRUE
"152","YGL236C","1",13,0.00020847865791518,0.000167521052362138,0.29903196531209,"0",FALSE
"157","YNL055C","0",57,0.000199853261358921,0.00136734221799394,0.328241739996679,"0",TRUE
"161","YIR024C","0",14,5.44550727139889e-05,0.000430338773775889,0.276451943693484,"0",TRUE
"162","YGR027C","0",240,0.0596335394409521,0.000133133672494759,0.337775499743721,"0",TRUE
"163","YGR267C","1",25,7.46158982490499e-05,0.000644668073811253,0.295987623515321,"0",FALSE
"164","YIL022W","1",54,0.000456320760855784,0.000190541552582687,0.314108674928503,"1",TRUE
"166","YOL122C","0",22,1.80471426962369e-05,0.000682720380966641,0.29481061735759,"0",TRUE
"169","YIR021W","0",11,0.00011523396771787,0.000116384578578749,0.277499649089973,"0",TRUE
